cod_ubicacion,cod_sector,empleo,excedente,insumos_intermedios_domesticos,insumos_intermedios_importados,exportaciones,ventas_intermedias,ventas_domesticas,produccion_bruta,insumos_intermedios_totales,valor_agregado,remuneraciones,ventas_consumo_final
1.0,1.0,5.663315773010254,32801.46423430214,173377.1523970923,59902.77548010988,49578.587367890126,155651.89875253147,251879.76385805945,301458.35122594953,233279.92787720216,68178.42334975918,35376.95911444522,96227.86510552796
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,1.924560546875,28470.77458125838,25820.996397654424,1164.437726303417,0.0955175777706802,68373.01770119194,68373.01770119194,68373.11321876972,26985.434123957843,41387.67909481188,12916.904513553498,0.0
1.0,4.0,5.672163009643555,117503.14943233471,1775.1285503264132,545.5433991644842,115892.20790534907,8930.731598410732,11957.341823816034,127849.54972916513,2320.671949490897,125528.87778068605,8025.728347339507,3026.6102254053017
1.0,5.0,4.06037712097168,94216.54850477418,368854.5170640843,75676.80226561226,123467.85845423953,175066.7227997496,455477.6242119093,578945.4826661488,444531.3193307084,134414.16333544042,40197.61483167806,280410.90141215967
1.0,6.0,0.2061608880758285,219.7839562056851,3061.544901723411,2005.0013763985944,4.49321861641648,2181.137522038965,6659.01536405749,6663.508582673906,5066.546278122006,1596.9623045519006,1377.1783483462152,4477.8778420185245
1.0,7.0,0.094094879925251,46.23852730501437,674.200232002555,101.74918756691152,223.7657062305973,676.4114504707761,676.4114504707761,900.1771567013733,775.9494195694666,124.22773814372404,77.98921083870968,0.0
1.0,8.0,0.1787303984165191,247.1467796358991,1326.9822898754392,424.6203615867135,391.1244530590866,1983.5709097004155,2040.7025134359628,2431.8269664950494,1751.6026504503354,680.2243160447141,433.0775364088151,57.13160474736505
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,1.154175043106079,16894.70542561993,45660.738232181415,7993.7438176480355,68802.41352783391,12453.924457862664,12453.924457862664,81256.3379867084,53654.48205084127,27601.855935867137,10707.150510247206,0.0
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.7530748248100281,2456.347558673906,3695.164187973172,6140.289304457362,8344.745494045352,4267.537921471734,6264.947602233153,14609.693095266688,9835.453492430534,4774.2396028361545,2317.892045174065,1997.4096797496009
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.7516618371009827,1495.000887292239,2212.016323607793,604.7291640498244,170.44567193101247,3520.7671943992336,5206.311745962312,5376.757416881507,2816.745487657617,2560.01192922389,1065.011041931651,1685.5445505512614
1.0,19.0,0.2450162172317505,18702.27575093964,29098.44058032322,25456.633095920795,0.0,63405.30524320664,78538.55677076972,78538.55677076972,54555.073676244014,23983.48309452571,5281.207343586075,15133.25152655126
1.0,20.0,0.5484921932220459,6323.523045999362,779.1060265065474,61.80919671414884,0.0,9391.504800613224,9391.504800613224,9391.504800613224,840.9152242325137,8550.589577392526,2227.066531393165,0.0
1.0,21.0,10.466965675354004,77544.01701159247,322423.0586612635,56935.040629452575,5717.511268936442,109582.46664890708,572977.366748106,578694.8780170424,379358.09929071605,199336.7787263264,121792.76171473396,463394.9000991989
1.0,22.0,2.3775763511657715,2923.9678672373043,22467.13407818077,2593.7376548527627,6556.00800594826,8961.073715888853,23522.127109835837,30078.13511578409,25060.87173303353,5017.263382750559,2093.295514501437,14561.05339394698
1.0,23.0,5.498153209686279,30698.554306248483,115436.1046032782,0.0,18665.884607110827,74485.08978951645,146289.30823530373,164955.19284241454,115436.1046032782,49519.08823913638,18820.533933899715,71804.2184467991
1.0,24.0,14.041842460632324,69784.98673717023,86159.9483546062,10832.422268811242,0.0,33744.201711453214,191504.29769803383,191504.29769803383,96992.37062240562,94511.92707562823,24726.940338458,157760.09598658065
1.0,25.0,5.253343105316162,40687.893106263815,94510.080631466,22871.80515725327,0.0,15235.442758888534,187621.08346752857,187621.08346752857,117381.88578770743,70239.19767880933,29551.30457254552,172385.64070762825
1.0,26.0,5.773207664489746,39374.06019685468,65897.79963027786,48065.793688365375,22120.01174476653,119644.37714906676,145771.48685673843,167891.49860150495,113963.59331864324,53927.90528387353,14553.845086007026,26127.109707671672
1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.4096665680408478,1984.5829243155545,1133.9505455892686,219.17688403193867,0.0,2176.511703752156,4019.45585029192,4019.45585029192,1353.1274296212073,2666.328419658895,681.7454953433407,1842.9441455279464
