location_code,sector_code,employment,surplus,domestic_intermediate_inputs,imported_intermediate_inputs,exports,intermediate_sales,domestic_sales,gross_output,total_intermediate_inputs,value_added,wages,consumer_sales
1.0,1.0,5.663315773010254,41.41599019482594,218.91054595592465,75.63481752539126,62.59922647460875,196.53017519259024,318.03000487128713,380.6292313458959,294.54536348131586,86.08386786585756,44.66787766975407,121.4998296786969
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,1.924560546875,35.94794770360907,32.6022681788566,1.4702496544235069,0.0001206030022357,86.32956780453529,86.32956780453529,86.32968840753753,34.0725178332801,52.25717057425742,16.309222870648355,0.0
1.0,4.0,5.672163009643555,148.36256241456402,2.2413239271798147,0.6888174231874801,146.32854533503672,11.27617626061961,15.097653817949537,161.42619915298627,2.9301413503672946,158.49605780389652,10.133495388054934,3.8214775573299264
1.0,5.0,4.06037712097168,118.96028851612904,465.7254003334398,95.5515180121367,155.89376067454486,221.04384191887576,575.0980103685723,730.9917710431172,561.276918346854,169.71485269626316,50.75456418141169,354.0541684496966
1.0,6.0,0.2061608880758285,0.2775049952091983,3.865586997125519,2.53156739444267,0.0056732558288086,2.753961517725966,8.40784768189077,8.413520937719579,6.397154391568189,2.016366546151389,1.738861550942191,5.653886164164804
1.0,7.0,0.094094879925251,0.0583819789204726,0.8512629191951453,0.128471196422868,0.2825324573618652,0.8540548617055254,0.8540548617055254,1.1365873190673903,0.9797341156180134,0.1568532047269243,0.0984712258064516,0.0
1.0,8.0,0.1787303984165191,0.3120540146917918,1.6754826892366657,0.5361368201852443,0.4938440063877355,2.5045087243692112,2.5766445876716704,3.0704885940594058,2.211619508144363,0.8588690859150431,0.5468150712232513,0.0721358645800063
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
